smiles,klebsiella_pneumoniae,heavy_atoms
O=[N+]([O-])c1ccco1,0.0409733727574348,8
O=[N+]([O-])c1cccs1,0.0464319176971912,8
O=[N+]([O-])c1cn2c(n1)OCCC2,0.0285420548170804,12
O=[N+]([O-])c1cnc[nH]1,0.0159624982625246,8
O=[N+]([O-])c1cncs1,0.0350276231765747,8
O=[N+]([O-])c1ncc[nH]1,0.0273053273558616,8
O=c1[nH]c(=O)n(O)cc1F,0.0295336712151765,10
O=c1[nH]cc(F)c(=O)[nH]1,0.009585422463715,9
O=c1[nH]cnc2[nH]cnc12,0.0035375298466533,10
O=c1[nH]cnc2cc(Cl)ccc12,0.003683571703732,12
O=c1cc(O)c2c([nH]1)CCCC2,0.0015747717116028,12
O=c1cc(O)cc[nH]1,0.0044342563487589,8
O=c1cc2oc3[c]([Hg+])c([O-])c(Br)cc3cc-2cc1Br,0.0028590625151991,19
O=c1cc[nH]c(=O)[nH]1,0.0046646478585898,8
O=c1cc[nH]c2c(Cl)cc(F)cc12,0.0119815347716212,13
O=c1cc[nH]c2c(F)cc(F)c(F)c12,0.0091738235205411,14
O=c1cc[nH]c2c(F)cc(F)cc12,0.0039580827578902,13
O=c1cc[nH]c2cc3c(cc12)OCO3,0.001709746196866,14
O=c1cc[nH]c2ccc(F)cc12,0.0028042281046509,12
O=c1cc[nH]c2ccccc12,0.0017563065048307,11
O=c1cc[nH]c2ncc(F)cc12,0.0034359423443675,12
O=c1cc[nH]c2ncccc12,0.0024377321824431,11
O=c1cc[nH]c2ncncc12,0.0042002447880804,11
O=c1cc[nH]cc1O,0.0081178247928619,8
O=c1ccn2c3c(cc(F)cc13)SCC2,0.0098020620644092,15
O=c1cn[nH]c2cc3c(cc12)OCO3,0.0039347172714769,14
O=c1cnc2ccccc2o1,0.0060820523649454,11
O=c1nc[nH]c2[nH]cnc12,0.0032280343584716,10
OC12OC3OCC4(CO4)C3(O)OC1OCC21CO1,0.001369725447148,18
OC1CC(O)C(O)CO1,0.0009600646444596,9
OC1CCC(O)C(O)C1,0.0007558132638223,9
OC1CCNCC1,0.0009087790967896,7
OC1CCOC1,0.0009153578430414,6
OC1CCOCC1O,0.00084775040159,8
OC1COCC(O)C1O,0.0009442880400456,9
OC1COCC1O,0.0010549692669883,7
OC1[C@@H](O)COC[C@@H]1O,0.0009439660934731,9
OC1[C@H](O)COC[C@H]1O,0.0009439660934731,9
OC[C@@H]1NCC2(CNC2)c2c1[nH]c1ccccc21,0.0007410939433611,18
O[C@@H]1CCCOC1,0.0008558885310776,7
O[C@@H]1CCOC1,0.0009153578430414,6
