,mole,smiles
459,O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12
460,Cc1ccncc1NC(=O)Cc1cccc(F)c1,Cc1ccncc1NC(=O)Cc1cccc(F)c1
461,COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2ccccc12,COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2ccccc12
462,C[NH2+]CC[C@H](C(=O)Nc1cccnc1)c1ccccc1,C[NH2+]CC[C@H](C(=O)Nc1cccnc1)c1ccccc1
463,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1
464,CCC[C@@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1,CCC[C@@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1
466,Cc1ccncc1NC(=O)[C@H](C)CC1CC1,Cc1ccncc1NC(=O)[C@H](C)CC1CC1
467,Cc1ccncc1NC(=O)C[C@H](C)C(C)C,Cc1ccncc1NC(=O)C[C@H](C)C(C)C
468,Cc1ccncc1NC(=O)[C@@H]1CCC2(CC2)C1,Cc1ccncc1NC(=O)[C@@H]1CCC2(CC2)C1
469,Cc1ccncc1NC(=O)C[C@@]12CCC[C@@H]1C2,Cc1ccncc1NC(=O)C[C@@]12CCC[C@@H]1C2
470,Cc1ccncc1NC(=O)CC(C)(C)c1ccccc1,Cc1ccncc1NC(=O)CC(C)(C)c1ccccc1
471,O=C(Cc1cccnc1)N1CCC[C@H]1c1noc(C2CC2)n1,O=C(Cc1cccnc1)N1CCC[C@H]1c1noc(C2CC2)n1
472,Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1,Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1
473,CC(=O)NCCc1c[nH]c2c(C[NH+]3CCN(C(C)=O)CC3)cccc12,CC(=O)NCCc1c[nH]c2c(C[NH+]3CCN(C(C)=O)CC3)cccc12
474,CC(=O)N1Cc2ccccc2[C@@H](c2cccc(C)c2)C1,CC(=O)N1Cc2ccccc2[C@@H](c2cccc(C)c2)C1
476,COc1ccccc1O[C@H](C)CNC(=O)c1cc(=O)[nH]c2ccc(F)cc12,COc1ccccc1O[C@H](C)CNC(=O)c1cc(=O)[nH]c2ccc(F)cc12
477,O=c1[nH]c(-c2cccnc2)c([O-])n1-c1cccc(Cl)c1,O=c1[nH]c(-c2cccnc2)c([O-])n1-c1cccc(Cl)c1
478,Cc1ccncc1NC(=O)[C@H]1CCC12CCC2,Cc1ccncc1NC(=O)[C@H]1CCC12CCC2
479,Cc1ccncc1NC(=O)[C@H]1C[C@H](C2CC2)C1,Cc1ccncc1NC(=O)[C@H]1C[C@H](C2CC2)C1
480,Cc1ccncc1NC(=O)Cc1cccc(I)c1,Cc1ccncc1NC(=O)Cc1cccc(I)c1
481,Cc1ccncc1NC(=O)Cc1cccc(C2CC2)c1,Cc1ccncc1NC(=O)Cc1cccc(C2CC2)c1
482,Cc1ccncc1NC(=O)C[C@H]1C[C@@H]2C[C@@H]2C1,Cc1ccncc1NC(=O)C[C@H]1C[C@@H]2C[C@@H]2C1
483,Cc1ccncc1NC(=O)CCc1ccccc1F,Cc1ccncc1NC(=O)CCc1ccccc1F
484,O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O,O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O
485,Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1,Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1
486,Cc1ccncc1NC(=O)[C@@]1(C#N)CCOC1,Cc1ccncc1NC(=O)[C@@]1(C#N)CCOC1
487,Cc1ccncc1NC(=O)[C@H]1[C@@H]2CCCC[C@@H]21,Cc1ccncc1NC(=O)[C@H]1[C@@H]2CCCC[C@@H]21
488,Cc1ccncc1NC(=O)CN1C(=O)COc2ccc(Cl)cc21,Cc1ccncc1NC(=O)CN1C(=O)COc2ccc(Cl)cc21
489,CC(=O)Nc1ccncc1NC(=O)[C@@H]1Cc2ccc(F)cc21,CC(=O)Nc1ccncc1NC(=O)[C@@H]1Cc2ccc(F)cc21
490,CC(=O)N1Cc2ccccc2[C@@H](c2cccc(C#N)c2)C1,CC(=O)N1Cc2ccccc2[C@@H](c2cccc(C#N)c2)C1
491,Cc1ccncc1NC(=O)Cn1ccc2ccc(Cl)cc21,Cc1ccncc1NC(=O)Cn1ccc2ccc(Cl)cc21
492,COc1ccccc1OCCNC(=O)c1cc[nH]c(=O)c1,COc1ccccc1OCCNC(=O)c1cc[nH]c(=O)c1
493,CC(=O)NNC(=O)[C@@H]1Cc2ccccc2CN1C(C)=O,CC(=O)NNC(=O)[C@@H]1Cc2ccccc2CN1C(C)=O
494,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1
495,CC(=O)N1CCC[C@@H]([N@H+](CC2CCCCC2)[C@H]2CC[C@H](O)CC2)C1,CC(=O)N1CCC[C@@H]([N@H+](CC2CCCCC2)[C@H]2CC[C@H](O)CC2)C1
496,Cc1ccncc1NC(=O)Cn1ccc2ccc(F)cc21,Cc1ccncc1NC(=O)Cn1ccc2ccc(F)cc21
